Customer_ID,Feedback
C001,"Excellent product, I really loved it!"
C002,"Very bad experience, the quality is poor."
C003,"Delivery was fast and product is amazing."
C004,"Average product, nothing special."
C005,"Highly recommended, excellent service."
C006,"The item arrived damaged."
C007,"Fantastic quality and worth the money."
C008,"Not satisfied with the product."
C009,"Customer support was very helpful."
C010,"Worst purchase ever."
C011,"Good quality and quick delivery."
C012,"The packaging was okay."
C013,"Amazing experience, will buy again."
C014,"Very disappointed with the service."
C015,"Nice product and affordable price."
